AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a2,1,23040,7,9,61,146,233,323,1
a2,2,14620,4,9,34,93,152,204,1
a2,3,6720,0,5,25,68,106,133,1
a2,4,16480,7,3,33,97,150,200,1
a2,5,58240,16,25,159,391,600,848,1
a2,6,1880,0,1,5,27,37,40,1
a2,7,5100,3,2,5,10,38,38,1
a2,8,66220,27,29,112,348,522,767,1
a2,9,6980,4,1,10,22,53,61,1
a2,10,33860,13,9,90,164,294,423,1
a2,11,3980,1,3,10,22,44,55,1
a2,12,56580,21,24,133,272,479,694,1
a2,13,19080,6,3,55,137,195,280,1
a2,14,22520,11,9,37,73,157,218,1
a2,15,19380,5,14,41,127,196,271,1
a2,16,10640,4,3,23,66,104,137,1
a2,17,7580,3,2,13,52,76,96,1
a2,18,12460,5,3,28,69,113,154,1
a2,19,3940,0,2,23,26,60,78,1
a2,20,21600,8,6,42,150,199,284,1
