AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a3,1,9380,5,5,12,17,63,76,1
a3,2,9720,4,5,17,43,85,108,1
a3,3,22560,9,12,40,104,194,256,1
a3,4,5360,1,6,12,29,65,75,1
a3,5,28620,9,21,46,173,263,364,1
a3,6,15540,7,4,29,76,136,174,1
a3,7,11020,4,5,18,73,104,140,1
a3,8,3760,0,6,8,29,54,63,1
a3,9,17360,7,8,34,79,155,199,1
a3,10,6740,1,6,17,51,82,107,1
a3,11,40,0,0,0,1,15,1,1
a3,12,44100,18,24,61,230,352,496,1
a3,13,18880,9,12,14,77,129,177,1
a3,14,20620,7,12,33,133,191,263,1
a3,15,29960,11,14,48,194,260,376,1
a3,16,33700,10,19,62,245,326,466,1
a3,17,7400,3,5,9,35,62,80,1
a3,18,14380,5,5,20,122,142,197,1
a3,19,42800,11,22,102,320,437,634,1
a3,20,6800,2,1,17,60,86,105,1
