AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a1,1,9960,0,5,31,134,162,211,1
a1,2,25500,3,6,93,270,344,486,1
a1,3,10620,3,2,27,93,129,165,1
a1,4,52120,11,22,136,468,600,850,1
a1,5,54680,10,34,136,472,600,886,1
a1,6,28960,7,12,70,249,312,453,1
a1,7,53880,12,31,119,457,577,836,1
a1,8,35200,8,18,84,295,380,549,1
a1,9,52300,11,28,137,425,565,827,1
a1,10,21800,6,13,47,150,210,307,1
a1,11,30260,6,14,81,269,332,497,1
a1,12,57020,13,30,147,443,570,879,1
a1,13,10340,0,5,36,131,161,218,1
a1,14,56280,14,31,119,457,600,844,1
a1,15,49880,9,22,142,457,600,843,1
a1,16,5300,2,3,10,25,58,62,1
a1,17,46280,11,18,128,372,516,726,1
a1,18,16020,6,6,27,108,153,204,1
a1,19,48320,7,24,144,458,600,846,1
a1,20,47760,10,22,124,419,552,773,1
