AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a3,1,55660,13,24,143,464,600,874,1
a3,2,46640,7,32,134,381,543,773,1
a3,3,54100,9,38,157,405,600,869,1
a3,4,49680,8,21,149,472,600,865,1
a3,5,53880,13,20,158,412,600,840,1
a3,6,50040,11,21,135,426,600,803,1
a3,7,27200,7,12,72,200,314,408,1
a3,8,42420,8,18,123,378,625,710,1
a3,9,56840,13,28,146,456,600,884,1
a3,10,49200,12,20,144,360,518,756,1
a3,11,56620,10,33,174,433,600,920,1
a3,12,58060,12,26,175,459,600,935,1
a3,13,10720,2,6,36,73,119,171,1
a3,14,56200,15,20,126,490,600,862,1
a3,15,54400,12,26,134,470,600,864,1
a3,16,27260,2,16,93,269,370,511,1
a3,17,43820,7,21,124,418,532,757,1
a3,18,53580,8,30,153,492,600,920,1
a3,19,64640,18,30,146,486,600,940,1
a3,20,60180,13,34,153,477,600,937,1
