AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a1,1,57700,13,33,178,360,600,867,1
a1,2,37480,9,15,131,227,403,570,1
a1,3,9860,4,3,24,44,91,117,1
a1,4,48380,18,19,112,247,423,600,1
a1,5,33040,6,20,102,241,374,529,1
a1,6,61840,18,26,166,396,600,878,1
a1,7,56120,15,25,155,378,600,823,1
a1,8,56220,15,28,171,318,600,804,1
a1,9,57460,16,30,167,314,600,802,1
a1,10,44840,8,25,147,326,600,727,1
a1,11,65120,21,22,182,378,600,892,1
a1,12,12800,3,6,36,95,145,197,1
a1,13,46420,8,29,140,353,498,752,1
a1,14,55640,11,31,185,366,568,873,1
a1,15,62160,17,30,166,404,600,894,1
a1,16,54620,12,26,163,403,600,855,1
a1,17,52340,10,22,187,376,600,856,1
a1,18,13360,4,7,35,74,135,181,1
a1,19,16320,2,10,54,138,212,284,1
a1,20,58400,13,37,169,370,580,871,1
