AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a2,1,56040,12,32,162,396,600,864,1
a2,2,22900,6,11,52,180,244,341,1
a2,3,56360,14,22,154,439,600,869,1
a2,4,55120,12,24,158,443,600,879,1
a2,5,54780,12,25,164,412,600,863,1
a2,6,49560,9,27,153,384,600,807,1
a2,7,37740,11,19,92,241,409,526,1
a2,8,6700,2,1,20,50,85,101,1
a2,9,50500,11,22,153,385,600,801,1
a2,10,17060,5,4,49,124,285,254,1
a2,11,53420,9,29,156,458,600,893,1
a2,12,26900,9,11,64,160,253,357,1
a2,13,58160,12,32,174,419,600,911,1
a2,14,42940,11,24,107,296,413,626,1
a2,15,66000,21,23,165,435,600,918,1
a2,16,58260,15,27,166,389,600,862,1
a2,17,14480,8,3,15,62,101,133,1
a2,18,57420,14,30,149,418,600,862,1
a2,19,32020,8,16,83,233,345,479,1
a2,20,54580,10,30,165,427,600,887,1
