AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a3,1,23920,8,10,50,158,231,320,1
a3,2,63340,17,33,140,476,600,923,1
a3,3,50640,8,24,132,516,600,884,1
a3,4,11500,4,4,21,85,120,155,1
a3,5,54200,14,18,126,485,600,847,1
a3,6,50700,9,26,123,495,600,855,1
a3,7,44300,6,23,112,475,600,792,1
a3,8,39120,9,15,85,383,600,634,1
a3,9,52400,15,12,114,485,600,809,1
a3,10,56500,14,24,151,435,600,865,1
a3,11,55440,12,28,128,496,600,884,1
a3,12,18660,4,5,60,159,216,310,1
a3,13,7360,2,3,13,69,84,112,1
a3,14,51400,8,24,128,545,600,905,1
a3,15,51880,7,36,118,522,600,894,1
a3,16,60240,17,33,103,491,600,864,1
a3,17,51180,10,24,115,512,600,854,1
a3,18,3880,2,2,4,12,32,34,1
a3,19,27940,2,20,79,291,373,517,1
a3,20,22380,4,10,49,242,290,386,1
