AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a2,1,50260,8,22,91,624,600,904,1
a2,2,20420,4,8,41,228,233,350,1
a2,3,47160,6,23,95,589,600,872,1
a2,4,44220,4,21,90,603,600,862,1
a2,5,43140,3,21,96,591,600,858,1
a2,6,40780,3,17,98,557,600,816,1
a2,7,32220,2,18,83,403,600,631,1
a2,8,41240,6,13,97,511,600,768,1
a2,9,46920,5,30,98,553,600,859,1
a2,10,7100,0,5,12,110,111,149,1
a2,11,48360,7,20,108,579,600,883,1
a2,12,49680,8,18,102,612,600,902,1
a2,13,52380,10,19,104,607,600,912,1
a2,14,44380,4,18,113,572,600,868,1
a2,15,47580,6,29,96,552,600,855,1
a2,16,48760,8,21,99,574,600,867,1
a2,17,46320,4,29,105,558,600,871,1
a2,18,7960,1,2,20,104,108,154,1
a2,19,47020,4,18,107,653,600,937,1
a2,20,48960,5,19,129,609,600,944,1
