AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a1,1,51900,8,24,153,495,600,905,1
a1,2,54540,9,32,135,516,600,918,1
a1,3,52060,12,20,117,499,600,841,1
a1,4,45460,4,26,121,519,600,855,1
a1,5,41520,9,20,98,373,486,665,1
a1,6,43640,8,23,99,431,600,730,1
a1,7,9580,2,3,20,107,161,164,1
a1,8,14780,3,6,39,137,240,245,1
a1,9,44680,6,27,115,447,600,782,1
a1,10,51680,9,30,132,467,600,857,1
a1,11,43280,7,24,102,437,509,741,1
a1,12,49720,6,27,137,518,600,897,1
a1,13,38360,7,21,81,389,430,642,1
a1,14,18740,5,9,40,151,193,278,1
a1,15,58460,15,31,126,464,600,869,1
a1,16,49860,8,26,123,504,600,860,1
a1,17,51500,10,20,139,490,600,868,1
a1,18,20900,6,9,42,170,222,305,1
a1,19,32820,13,16,53,178,281,384,1
a1,20,64380,17,38,127,497,600,933,1
