Generation,BestAgentID,BestFitness,AvgFitness,WorstFitness,FitnessStd,BestScore,BestLines,BestLevel,BestTime,Num1Line,Num2Line,Num3Line,NumTetris,W1:AggHeight,W2:Holes,W3:Blockades,W4:Bumpiness,W5:AlmostFull,W6:FillsWell,W7:ClearBonus4,W8:ClearBonus3,W9:ClearBonus2,W10:ClearBonus1
0,2,404.29999999999995,81.73175661933607,-20.414917273844136,156.68292740049762,11560.0,185.0,1.0,360.0,114.0,25.0,3.0,3.0,19.42285653778443,15.03716164005854,6.577978616652699,8.714785174573707,10.568945923112175,3.3125695939630795,18.87271653955135,17.728552833942224,6.775562681233308,12.855581186966335
1,0,181.20000000000002,111.60980601663957,-31.27170841545209,79.97929647483762,4420.0,78.0,1.0,360.0,48.0,13.0,0.0,1.0,3.2003806089867046,8.386631991036882,12.675008192640112,1.0849171401633866,2.1206857827383967,4.299090514603535,11.037982543013586,15.39104122826201,14.627075462338436,10.24896733039167
2,0,167.70000000000002,117.34056988938794,-29.495111386735932,67.38886856891095,4120.0,69.0,1.0,360.0,48.0,7.0,1.0,1.0,3.2003806089867046,8.386631991036882,12.675008192640112,1.0849171401633866,2.1206857827383967,4.299090514603535,11.037982543013586,15.39104122826201,14.627075462338436,10.24896733039167
3,9,144.7,121.76700000000001,102.65,10.72755335572841,3520.0,55.0,1.0,360.0,38.0,5.0,1.0,1.0,11.19423210783557,11.677052637500593,12.54241411368533,4.85987592316955,6.300552809821213,3.8883408070871734,14.88658660532985,14.913483640328616,10.897886527746161,11.516852141378981
4,0,193.20000000000002,109.92600633772102,-26.745960502312712,67.96073648032805,5820.0,60.0,1.0,360.0,33.0,6.0,1.0,3.0,11.19423210783557,11.677052637500593,12.54241411368533,4.85987592316955,6.300552809821213,3.8883408070871734,14.88658660532985,14.913483640328616,10.897886527746161,11.516852141378981
5,1,139.1,75.73188656079853,-26.218287791388114,52.50349664331239,4280.0,29.0,1.0,360.0,17.0,0.0,0.0,3.0,8.080428605041305,18.45110840997742,14.256858788414728,3.565358322764328,4.609435115141892,4.194489953899812,13.339682202830403,15.627908865223661,10.512542621839323,11.313831868111595
6,5,157.7,114.54533050719654,40.353305071965366,28.496055551957028,4920.0,38.0,1.0,360.0,13.0,5.0,1.0,3.0,11.202236842514608,9.182990906575105,12.18202832576958,4.856416555121845,6.341931826693445,11.726257798748442,17.166672160047437,14.952111923698475,10.897886527746161,2.2852549998372225
7,0,178.20000000000002,128.20816245320748,-36.318375467925236,56.08621506248109,4920.0,63.0,1.0,360.0,38.0,7.0,1.0,2.0,15.945388765771172,12.296026203569847,9.877183249338223,4.588481320610368,6.300552809821213,3.519201296615456,16.447459279257338,15.12957842117544,10.982806372038233,12.029031858305467
8,5,227.6,150.13859536025203,10.240913553273955,71.81072203823831,6980.0,77.0,1.0,360.0,32.0,12.0,3.0,3.0,11.824273115641358,9.164161836022613,5.959799143144978,4.634726259861517,3.40364014283305,11.610416352073557,17.207254407501054,15.061710897957639,10.953920213923084,2.8219883408161115
9,5,213.79999999999998,139.77978762391058,-37.15616325858155,85.29095983455962,6160.0,80.0,1.0,360.0,44.0,8.0,4.0,2.0,13.32151513831035,11.24838423892716,12.727073723372994,4.0610390450030955,3.531381936982693,11.610416352073557,17.47278253606184,11.601792776265013,10.1160264651291,12.860981916001585
10,3,208.0,171.10000000000002,140.4,19.455282059122144,6340.0,67.0,1.0,360.0,31.0,9.0,2.0,3.0,14.788629835989171,11.487886375901837,12.302410254200577,4.594630343957192,5.26381291343887,6.829688632747768,16.109794332007034,15.58838760347291,9.862325631666856,8.86422083565232
11,0,197.29999999999998,151.53529249196393,52.35292491963927,36.46518893601238,5860.0,68.0,1.0,360.0,29.0,8.0,5.0,2.0,15.369925964606512,10.996006962036555,9.364140596979587,4.238531439006835,4.335007717591496,7.8415082992863825,16.8203688398474,15.291260124947579,10.943325641441758,2.300128062416257
