Generation,AgentID,Score,Lines,Level,Time,W1_AggHeight,W2_Holes,W3_Blockades,W4:Bumpiness,W5:AlmostFull,W6_FillsWell,W7:ClearBonus4,W8:ClearBonus3,W9:ClearBonus2,W10:ClearBonus1,Num1Line,Num2Line,Num3Line,NumTetris
0,0,2120,50,1,212,3.898926619011436,19.002059107812578,19.652171573802804,11.031436792469302,9.566820782249021,13.78157454777012,4.147879712930044,6.1703878188398535,7.957156943846764,4.414328058337024,38,6,0,0
0,1,1020,20,1,162,18.421954100693043,13.626563753420367,12.395569719445952,14.339294847215399,15.597039275976373,4.978098701237921,7.540114021533736,16.202915044897008,5.117124365014868,15.118268149197133,13,2,1,0
0,2,80,2,1,87,4.565903960784822,2.4799066258530056,8.24927491501302,16.729157169528484,15.81413520360838,7.45174331725502,8.521420625507982,18.016236727393157,9.038300158438775,2.8992432862829554,2,0,0,0
0,3,1540,38,1,198,6.947994881539771,16.988159614388838,6.452539279649479,16.897994366458427,2.5591713844624437,19.275538106923726,16.637910680948778,17.58548757937982,0.6876001307158567,13.156201527443052,36,1,0,0
0,4,400,10,1,137,3.6287264446898653,0.2596661552125809,5.668674939863799,11.03432670329924,10.487056277919956,8.200333158728046,4.008395878767096,15.294384534481795,2.918224475379021,11.641710575936655,10,0,0,0
0,5,720,18,1,155,13.21812561131592,3.4337678928385373,2.928324638059357,14.548015010539034,11.88301027551269,11.008744556736076,7.004099032472719,2.062868605482442,11.138931216321662,14.229210611466906,18,0,0,0
0,6,840,12,1,135,18.90963069773566,1.0886584796277636,5.91966336741067,5.677152881091415,13.920943593841553,12.452622968475417,6.379228496860112,17.18296242878662,0.08771885682010647,12.59278813379902,6,0,2,0
0,7,1880,41,1,201,17.27385298530688,5.447084393716411,8.638926817507592,13.658714516281222,11.182006914146761,17.797207348794945,16.229272373672025,15.49096998766699,7.865849793735385,11.99537646896971,32,3,1,0
0,8,1700,42,1,201,2.224869780838093,15.73328133504401,7.156058408885637,10.600690513615039,7.1371433607341075,11.19084383423465,13.304337655043216,5.233819457189025,8.444348387773273,4.211674810519772,40,1,0,0
0,9,600,14,1,149,0.8722500267390759,11.82300871187556,12.288227076249857,13.225586818739908,14.34415777671651,13.990929804214321,8.971911620945379,10.493961967662923,17.123203817825903,2.1368283968700457,10,2,0,0
1,0,1200,29,1,192,18.421954100693043,13.626563753420367,12.395569719445952,14.339294847215399,15.597039275976373,4.978098701237921,7.540114021533736,16.202915044897008,5.117124365014868,15.118268149197133,25,2,0,0
1,1,2280,55,1,218,6.947994881539771,16.988159614388838,6.452539279649479,16.897994366458427,2.5591713844624437,19.275538106923726,16.637910680948778,17.58548757937982,0.6876001307158567,13.156201527443052,47,4,0,0
1,2,900,18,1,170,0.9101353808763505,17.42956947595328,14.871340902008088,9.590331797400832,13.06595705704429,13.968704753926719,5.6358138555920245,10.102305227466568,6.495298642474716,3.479096478946175,15,0,1,0
1,3,840,20,1,178,3.65195855969647,3.1454283223800013,17.16246784752699,9.17947429404789,3.6196591869069614,7.083299497779178,10.295906416018559,5.24583503954733,8.371245191119344,4.0036503813532915,16,2,0,0
1,4,560,13,1,149,7.492806886698306,12.504397914387326,9.298616799441689,13.248161397351835,13.914605443012686,12.402436231786254,9.533140336663829,7.593061802182331,14.649416660615016,3.289721556657409,9,2,0,0
