Generation,BestAgentID,BestFitness,AvgFitness,WorstFitness,FitnessStd,BestScore,BestLines,BestLevel,BestTime,Num1Line,Num2Line,Num3Line,NumTetris,W1:AggHeight,W2:Holes,W3:Blockades,W4:Bumpiness,W5:AlmostFull,W6:FillsWell,W7:ClearBonus4,W8:ClearBonus3,W9:ClearBonus2,W10:ClearBonus1
0,1,95.64364174183996,19.246744613140457,-33.479341684174344,45.718082484675065,3080.0,65.0,1.0,231.0,47.0,6.0,2.0,0.0,18.421954100693043,13.626563753420367,12.395569719445952,14.339294847215399,15.597039275976373,4.978098701237921,7.540114021533736,16.202915044897008,5.117124365014868,15.118268149197133
1,1,156.29964511104086,61.884354327820326,-35.82448112908105,65.56735845730998,3500.0,86.0,1.0,321.0,80.0,3.0,0.0,0.0,6.947994881539771,16.988159614388838,6.452539279649479,16.897994366458427,2.5591713844624437,19.275538106923726,16.637910680948778,17.58548757937982,0.6876001307158567,13.156201527443052
2,2,140.6,94.47349710200383,21.370217493725832,44.07095341925843,3080.0,62.0,1.0,360.0,47.0,3.0,3.0,0.0,18.593029189128863,19.742304239952222,16.74848039911007,13.833562799977441,12.353908296586331,6.844502448055471,9.739621861361428,15.144206417220873,5.699565539135422,13.892731233298303
3,0,138.8,101.27220655134411,44.64522769582814,26.032780032927295,3260.0,53.0,1.0,360.0,39.0,5.0,0.0,1.0,18.593029189128863,19.742304239952222,16.74848039911007,13.833562799977441,12.353908296586331,6.844502448055471,9.739621861361428,15.144206417220873,5.699565539135422,13.892731233298303
4,1,138.0,107.644,82.64,13.226572647515304,3540.0,48.0,1.0,360.0,31.0,2.0,3.0,1.0,18.593029189128863,19.839145077339204,16.74848039911007,13.833562799977441,12.336384115690688,1.06305418374298,9.739621861361428,15.483469126198028,5.425910279314264,13.892731233298303
5,2,141.0,73.71429887808901,-36.19511138673593,63.58461307056916,3340.0,54.0,1.0,360.0,36.0,7.0,0.0,1.0,18.582470211612637,10.209006706982215,17.83474163909119,11.642186156877587,5.5017649243839415,17.061775377616293,10.98853095610017,18.975147678634364,13.884586424174184,11.063024455590167
6,2,139.4,100.95821041213487,-10.56171183522607,46.54573597419938,3300.0,53.0,1.0,360.0,35.0,7.0,0.0,1.0,15.308295147567254,17.61637642099162,9.621017251014433,14.021211084686064,14.043395478993892,14.081137726227091,7.066177253012803,11.082086899040121,4.542275966505713,2.0532403076109205
7,1,210.4,115.75710604656517,-32.376684113153274,99.19684639574322,4800.0,106.0,1.0,360.0,65.0,19.0,1.0,0.0,18.587376929196022,14.684096193596458,17.32996008063308,12.61732670024885,8.697053773532705,9.755781729426017,10.40816754441691,17.51731409570619,9.953871077128335,6.356726742572078
8,9,178.4,151.6227302334164,58.67300908661351,37.490616071411225,4200.0,83.0,1.0,360.0,40.0,17.0,3.0,0.0,18.58266472728432,11.729599205939254,12.286935426866895,8.76890551211368,7.854609793357204,12.282909118970343,10.52285869665553,17.381274982655057,11.361984697614787,7.984624935019025
9,0,209.9,156.6050652083372,0.7850827261558635,60.04104656314701,5400.0,92.0,1.0,360.0,65.0,7.0,3.0,1.0,18.58266472728432,11.729599205939254,12.286935426866895,8.76890551211368,7.854609793357204,12.282909118970343,10.52285869665553,17.381274982655057,11.361984697614787,7.984624935019025
