Generation,BestAgentID,BestFitness,AvgFitness,WorstFitness,FitnessStd,BestScore,BestLines,BestLevel,BestTime,Num1Line,Num2Line,Num3Line,NumTetris,W1:AggHeight,W2:Holes,W3:Blockades,W4:Bumpiness,W5:AlmostFull,W6:FillsWell,W7:ClearBonus4,W8:ClearBonus3,W9:ClearBonus2,W10:ClearBonus1
0,1,183.3,93.19176666683,-28.179600139851225,82.57998722043494,4060.0,90.0,1.0,360.0,59.0,14.0,1.0,0.0,6.715784310851623,11.006143417646692,16.621515924354558,8.167097660273168,2.1155320901902024,10.893593259847203,7.995949666321798,17.910781222360086,19.16223946031472,0.29135031097970515
1,7,199.1,69.25397042806034,-36.56449154672438,86.96765259386213,4380.0,101.0,1.0,360.0,82.0,8.0,1.0,0.0,13.257213548105563,10.325210475655505,6.766389018888255,7.968008420887242,4.146380510035462,7.602361364309775,14.382982246621165,17.033549064857993,0.7155248034721944,11.4617669036745
2,9,153.7,125.0257783553408,52.91881918631953,34.97128733049207,3420.0,70.0,1.0,360.0,53.0,4.0,3.0,0.0,11.983246974919679,11.666804483266203,7.9154508919927276,6.032322054936772,4.464655380384994,9.52686453122962,6.92761630421838,16.503464955569285,0.7348879561832691,10.198113259136361
3,0,220.20000000000002,168.31451349321912,-18.154865067808537,64.14625055374619,6320.0,84.0,1.0,360.0,48.0,8.0,4.0,2.0,11.983246974919679,11.666804483266203,7.9154508919927276,6.032322054936772,4.464655380384994,9.52686453122962,6.92761630421838,16.503464955569285,0.7348879561832691,10.198113259136361
4,3,220.20000000000002,179.66188191863193,100.21881918631954,29.46281312715352,5920.0,90.0,1.0,360.0,58.0,12.0,0.0,2.0,13.410789430288776,14.61668881507498,11.243995381101016,8.606166986106004,7.4212083243293865,7.869365450820938,13.805686113380217,8.42512653841808,7.244545677169817,10.427774195004108
5,9,278.59999999999997,161.3913997402002,-35.07260867916176,127.15390954970866,7580.0,128.0,1.0,360.0,72.0,17.0,6.0,1.0,13.038744988297422,11.885484866538864,7.4077386320416965,6.98675613706608,3.376935838936045,8.041761015816409,12.231983826308708,13.848341055767929,2.120885059405508,5.185449321615649
6,8,283.79999999999995,162.408060800361,11.940913553273958,94.33909192891964,8260.0,114.0,1.0,360.0,74.0,11.0,2.0,3.0,10.71199153750305,12.132190549112048,8.205932651422682,5.574674816636375,4.855980618896517,8.297153605939274,11.734109913219307,12.44139048907555,4.6634543378490845,6.941644096426334
7,1,192.4,157.04048886132642,-19.59511138673593,59.493022256576246,4900.0,82.0,1.0,360.0,50.0,11.0,2.0,1.0,13.038744988297422,11.885484866538864,7.4077386320416965,6.98675613706608,3.376935838936045,8.041761015816409,12.231983826308708,13.848341055767929,2.120885059405508,5.185449321615649
8,7,198.79999999999998,136.81836438300599,-35.67675603008877,76.33492299711169,5460.0,80.0,1.0,360.0,44.0,7.0,6.0,1.0,10.708805103896541,13.309127540232058,8.033991687993083,6.240048435902493,4.403082932449106,10.434133289589136,12.168892830229325,0.0008045612763531383,4.504590178620149,5.948525634863523
9,1,168.1,131.13233158868468,-27.276684113153273,53.42721555290081,4080.0,70.0,1.0,360.0,42.0,12.0,0.0,1.0,11.34401743836522,8.598307399265764,6.77342830889316,3.056087133151577,3.774800049588189,8.312383503252313,10.594028609791348,9.010283426034057,13.917676981168562,7.626712809659659
10,8,160.0,130.94686430537334,52.76864305373306,27.335374472711717,4140.0,61.0,1.0,360.0,36.0,6.0,3.0,1.0,10.949529951773464,9.525355150008531,6.912546688433362,3.056087133151577,3.778224487662687,4.312335353980624,10.594028609791348,9.010283426034057,13.59299664725819,8.223952610042309
11,0,163.6,127.49673477125411,-36.9326522874589,55.87190441686338,4380.0,61.0,1.0,360.0,27.0,9.0,4.0,1.0,10.764077660221185,17.48424859056352,7.938509621824007,5.874875170240315,4.418205184891462,9.433964233745536,4.58571871776899,13.826322324158461,2.1251477288436216,3.366012504316975
12,8,188.20000000000002,144.75,122.19999999999999,21.633365433977215,5820.0,55.0,1.0,360.0,23.0,7.0,2.0,3.0,10.09370304175654,10.761388925607648,12.66820786478761,4.672619619564963,4.2244314641587,15.452243880514205,6.374715175014103,12.839432909584422,10.180128660748515,5.516147222649871
13,3,181.20000000000002,131.8978312657102,-37.42168734289797,59.193077093197324,5120.0,63.0,1.0,360.0,33.0,8.0,2.0,2.0,10.96736422172962,16.668552502495267,12.443598916932675,5.467254470010295,4.365948266010512,15.005995955890167,5.57863375725836,13.605835793725761,3.9651732987575654,2.8153690568071976
14,9,152.9,109.5363612503598,-12.936387496402098,43.51553258523197,4300.0,47.0,1.0,360.0,20.0,8.0,1.0,2.0,11.68518959386118,14.143690253225067,10.372495481483822,5.329184213994055,3.836471220908339,15.709985638707058,5.541125658232346,13.435903452759568,6.329509772892271,4.157373422335868
15,7,155.5,102.68067654847125,-18.309955814507624,56.88286819878766,4040.0,58.0,1.0,360.0,31.0,7.0,3.0,1.0,11.66163714557244,14.143690253225067,10.353368861643878,5.329184213994055,3.8533283588061606,15.709985638707058,5.596025544677436,13.435903452759568,6.298355058660707,4.157373422335868
16,7,160.1,124.3887836217446,50.431506830962824,34.32247672522966,4080.0,62.0,1.0,360.0,47.0,1.0,3.0,1.0,12.764258675378473,15.831374011551015,9.098091772662851,5.6567935234491635,4.297031353288579,16.17942585086268,5.142093994453108,13.521754985019127,4.19841284930635,17.75088711916237
