Generation,BestAgentID,BestFitness,AvgFitness,WorstFitness,FitnessStd,BestScore,BestLines,BestLevel,BestTime,Num1Line,Num2Line,Num3Line,NumTetris,W1:AggHeight,W2:Holes,W3:Blockades,W4:Bumpiness,W5:AlmostFull,W6:FillsWell,W7:ClearBonus4,W8:ClearBonus3,W9:ClearBonus2,W10:ClearBonus1
0,9,219.3075,82.61822538008508,2.1599456932523697,66.37017184935611,5040.0,110.25,1.0,359.25,79.75,14.0,0.5,0.25,15.309791310281552,13.907757089376046,10.887414056039127,9.093292633646303,0.6765577359962298,6.814523652763642,18.30004379573087,1.5805367568682163,12.322976918970767,6.794334050424426
1,0,228.175,71.60939207202728,-24.253014181034786,87.80630967884655,5260.0,115.75,1.0,360.0,85.25,14.0,0.5,0.25,15.309791310281552,13.907757089376046,10.887414056039127,9.093292633646303,0.6765577359962298,6.814523652763642,18.30004379573087,1.5805367568682163,12.322976918970767,6.794334050424426
2,9,152.875,123.05380173583856,51.521486449135445,35.26965609036588,3315.0,70.75,1.0,360.0,56.0,4.0,2.25,0.0,11.983246974919679,11.666804483266203,7.9154508919927276,6.032322054936772,4.464655380384994,9.52686453122962,6.92761630421838,16.503464955569285,0.7348879561832691,10.198113259136361
3,0,193.775,159.3860716623222,14.835716623221884,48.851129171448534,5000.0,80.75,1.0,360.0,55.0,7.75,1.75,1.25,11.983246974919679,11.666804483266203,7.9154508919927276,6.032322054936772,4.464655380384994,9.52686453122962,6.92761630421838,16.503464955569285,0.7348879561832691,10.198113259136361
4,0,200.325,177.54835622199352,131.49542805215296,20.512025710460577,4945.0,91.5,1.0,360.0,61.75,9.0,3.25,0.5,11.983246974919679,11.666804483266203,7.9154508919927276,6.032322054936772,4.464655380384994,9.52686453122962,6.92761630421838,16.503464955569285,0.7348879561832691,10.198113259136361
5,9,294.54999999999995,163.77699114510486,-27.033117221605764,127.05345555139334,8160.0,130.75,1.0,360.0,82.75,15.5,3.0,2.0,13.038744988297422,11.885484866538864,7.4077386320416965,6.98675613706608,3.376935838936045,8.041761015816409,12.231983826308708,13.848341055767929,2.120885059405508,5.185449321615649
6,8,249.575,175.4349456268024,-3.590183434952433,80.83017348135752,6820.0,107.0,1.0,360.0,69.25,11.25,2.75,1.75,10.71199153750305,12.132190549112048,8.205932651422682,5.574674816636375,4.855980618896517,8.297153605939274,11.734109913219307,12.44139048907555,4.6634543378490845,6.941644096426334
7,5,217.2,163.23316466144362,-16.891023664898157,66.10125257703956,5895.0,88.5,1.0,360.0,54.25,11.0,1.75,1.75,10.106357104268222,12.421368255474844,5.436540107068156,2.653402102267396,2.8207298582970792,8.334014839427379,9.530044928609106,6.046170459259214,6.06200262108243,8.266054871648693
8,2,180.625,136.0178235788967,-34.0674171478819,63.087135520079684,4215.0,82.75,1.0,360.0,64.75,5.75,1.5,0.5,10.833073242584465,12.217535237679702,7.778275973758931,5.461797876756916,5.153482367679644,8.297153605939274,12.61189224108078,12.44139048907555,5.13093154234143,18.23055160703227
9,1,158.65,132.57412303959848,1.4912303959848465,44.112047981144485,3775.0,66.25,1.0,360.0,40.0,10.5,0.75,0.75,11.34401743836522,8.598307399265764,6.77342830889316,3.056087133151577,3.774800049588189,8.312383503252313,10.594028609791348,9.010283426034057,13.917676981168562,7.626712809659659
10,4,163.54999999999998,143.09921607634334,115.24216076343326,13.54306723303489,4285.0,61.25,1.0,360.0,29.0,11.0,1.75,1.25,10.764077660221185,17.48424859056352,7.938509621824007,5.874875170240315,4.418205184891462,9.433964233745536,4.58571871776899,13.826322324158461,2.1251477288436216,3.366012504316975
11,0,169.1,134.38265393760057,-12.62346062399441,50.516711309225606,4555.0,62.75,1.0,360.0,28.25,10.25,3.0,1.25,10.764077660221185,17.48424859056352,7.938509621824007,5.874875170240315,4.418205184891462,9.433964233745536,4.58571871776899,13.826322324158461,2.1251477288436216,3.366012504316975
12,4,151.115,137.79744579105335,107.45945791053347,11.576782385632274,4030.0,53.0,1.0,356.0,24.5,8.0,2.5,1.25,13.257034664844324,17.48424859056352,7.868705295630202,5.977645754665345,4.731582789002563,15.964546452724749,4.697524971212782,13.605835793725761,2.1612711038526036,2.8153690568071976
13,0,161.25,128.9511349072731,-30.32310883780267,53.8242806968443,4190.0,61.5,1.0,360.0,29.75,9.75,2.75,1.0,13.257034664844324,17.48424859056352,7.868705295630202,5.977645754665345,4.731582789002563,15.964546452724749,4.697524971212782,13.605835793725761,2.1612711038526036,2.8153690568071976
14,1,142.65,107.98242730708573,-6.234801539314349,40.909279744869366,3725.0,48.75,1.0,360.0,26.25,5.75,2.0,1.25,11.68518959386118,14.143690253225069,10.372495481483822,5.329184213994055,3.836471220908339,15.709985638707058,5.541125658232346,13.225013692422031,6.329509772892272,4.157373422335868
15,0,152.325,117.18127581932526,3.8510778684474243,42.99823595867833,3995.0,55.5,1.0,360.0,26.75,7.5,3.25,1.0,11.68518959386118,14.143690253225069,10.372495481483822,5.329184213994055,3.836471220908339,15.709985638707058,5.541125658232346,13.225013692422031,6.329509772892272,4.157373422335868
16,7,152.0,122.5060413130689,51.54233347156576,31.453573649058722,3540.0,64.25,1.0,360.0,47.25,4.5,2.0,0.5,12.764258675378473,15.831374011551015,9.098091772662851,5.6567935234491635,4.297031353288579,16.17942585086268,5.142093994453108,13.521754985019127,4.19841284930635,17.75088711916237
17,4,183.47500000000002,146.74558299488257,15.110488587104747,50.10972020900591,4830.0,73.0,1.0,360.0,37.0,12.5,2.0,1.25,12.078200011095277,14.716950269588327,10.01499860349308,5.465935471655665,3.6794860497947255,16.43500719923969,5.504005876972357,9.100784276414043,6.517070162582463,4.463088142962273
18,9,230.8,167.14096890409422,7.174365192207193,77.9973687081056,6610.0,90.25,1.0,360.0,46.5,12.25,3.75,2.0,12.2639445183645,14.716950269588327,10.01499860349308,5.889193897022744,3.6794860497947255,16.506750110120272,5.504005876972357,9.05373266915228,6.862571747130838,4.463088142962273
19,0,306.5,160.54892644751436,-39.43732080192616,113.50401701283086,8415.0,140.0,1.0,360.0,82.25,20.5,3.25,1.75,12.2639445183645,14.716950269588327,10.01499860349308,5.889193897022744,3.6794860497947255,16.506750110120272,5.504005876972357,9.05373266915228,6.862571747130838,4.463088142962273
20,7,216.14999999999998,194.59540615054715,164.0540615054715,15.68023564069427,6100.0,83.25,1.0,360.0,43.75,12.0,2.5,2.0,12.374897926108337,14.683197751087258,11.841795036604509,5.693767555649229,3.7833413633076427,16.473193254855477,5.504005876972356,9.491260493740889,6.726649756015847,5.838086626258113
21,0,228.85000000000002,194.08940698539328,68.25151386104127,44.90646776170791,6330.0,94.75,1.0,360.0,50.75,13.0,4.0,1.5,12.374897926108337,14.683197751087258,11.841795036604509,5.693767555649229,3.7833413633076427,16.473193254855477,5.504005876972356,9.491260493740889,6.726649756015847,5.838086626258113
