Generation,BestAgentID,BestFitness,AvgFitness,WorstFitness,FitnessStd,BestScore,BestLines,BestLevel,BestTime,Num1Line,Num2Line,Num3Line,NumTetris,W1:AggHeight,W2:Holes,W3:Blockades,W4:Bumpiness,W5:AlmostFull,W6:FillsWell,W7:ClearBonus4,W8:ClearBonus3,W9:ClearBonus2,W10:ClearBonus1
0,1,204.6,89.78599490160428,-12.825647832334298,84.70992113214835,4680.0,102.0,1.0,360.0,57.0,21.0,1.0,0.0,6.715784310851623,11.006143417646692,16.621515924354558,8.167097660273168,2.1155320901902024,10.893593259847203,7.995949666321798,17.910781222360086,19.16223946031472,0.29135031097970515
1,7,206.79999999999998,75.6082721195402,-27.32977602843392,92.6906008893161,4760.0,103.0,1.0,360.0,84.0,5.0,3.0,0.0,13.257213548105563,10.325210475655505,6.766389018888255,7.968008420887242,4.146380510035462,7.602361364309775,14.382982246621165,17.033549064857993,0.7155248034721944,11.4617669036745
2,1,161.6,115.69585245280794,-1.9859023068523527,55.57368848733317,3680.0,74.0,1.0,360.0,47.0,9.0,3.0,0.0,13.257213548105563,10.325210475655505,6.766389018888255,7.968008420887242,4.146380510035462,7.602361364309775,14.382982246621165,17.033549064857993,0.7155248034721944,11.4617669036745
3,8,191.79999999999998,156.87642085349546,16.764208534954463,47.691492417173556,4660.0,85.0,1.0,360.0,59.0,11.0,0.0,1.0,13.424052841483984,12.835165787054622,8.961887283342106,7.822336618509364,2.6587509580596813,8.191752289467075,12.980399912219145,9.204256360553286,9.166030956905882,9.938211765093632
4,0,226.1,183.03000000000003,156.4,17.588237546724226,6580.0,86.0,1.0,360.0,47.0,8.0,5.0,2.0,11.983246974919679,11.666804483266203,7.9154508919927276,6.032322054936772,4.464655380384994,9.52686453122962,6.92761630421838,16.503464955569285,0.7348879561832691,10.198113259136361
5,9,338.4,173.38162060600902,-16.876684113153274,130.68006123672254,10200.0,135.0,1.0,360.0,85.0,14.0,2.0,4.0,13.038744988297422,11.885484866538864,7.4077386320416965,6.98675613706608,3.376935838936045,8.041761015816409,12.231983826308708,13.848341055767929,2.120885059405508,5.185449321615649
6,0,247.4,180.24177973863306,-11.04596050231271,83.89306466018382,6600.0,107.0,1.0,360.0,75.0,12.0,0.0,2.0,13.038744988297422,11.885484866538864,7.4077386320416965,6.98675613706608,3.376935838936045,8.041761015816409,12.231983826308708,13.848341055767929,2.120885059405508,5.185449321615649
7,5,221.0,164.35321613921104,-39.23783860788978,70.16319998802554,6040.0,89.0,1.0,360.0,56.0,11.0,1.0,2.0,10.106357104268222,12.421368255474844,5.436540107068156,2.653402102267396,2.8207298582970792,8.334014839427379,9.530044928609106,6.046170459259214,6.06200262108243,8.266054871648693
8,5,207.4,134.51499024700712,-34.197232257422115,77.68888875118172,6200.0,73.0,1.0,360.0,35.0,6.0,6.0,2.0,12.088570733258923,11.531156405441154,16.916174697222935,6.513227197678701,4.2732624463233755,19.52397039562543,11.970619517751611,7.379055805163526,3.483442346312291,6.10738280907587
9,1,180.20000000000002,133.94956913836077,30.495691383607678,37.54596711957135,5120.0,62.0,1.0,360.0,28.0,10.0,2.0,2.0,11.34401743836522,8.598307399265764,6.77342830889316,3.056087133151577,3.774800049588189,8.312383503252313,10.594028609791348,9.010283426034057,13.917676981168562,7.626712809659659
10,0,194.4,149.45999999999998,128.6,20.867400413084518,5900.0,60.0,1.0,360.0,25.0,10.0,1.0,3.0,11.34401743836522,8.598307399265764,6.77342830889316,3.056087133151577,3.774800049588189,8.312383503252313,10.594028609791348,9.010283426034057,13.917676981168562,7.626712809659659
11,4,179.79999999999998,133.4528291584548,-30.97170841545209,56.84208002722506,5160.0,61.0,1.0,360.0,34.0,5.0,3.0,2.0,11.475700129847743,11.881875411172722,7.8506888230031855,5.841590567865694,4.08561436605217,9.35726214901584,1.7826701788848263,12.852850299961547,5.397163296792038,7.888585043732143
12,3,147.8,133.01,125.6,7.028577380949863,3660.0,56.0,1.0,360.0,29.0,10.0,1.0,1.0,9.944027963923995,16.396447789294236,6.826282863628393,6.960874240714761,3.552706611842134,7.3140984610234,8.297691222775468,12.554156667481205,12.789617684988725,6.411054740460711
13,7,166.5,128.2722625828319,-27.37737417168095,52.79774345116128,4740.0,54.0,1.0,360.0,26.0,7.0,2.0,2.0,11.703460842359977,14.143690253225069,10.229332486250884,5.4219302234776094,4.514610864351948,15.709985638707058,5.530913141996152,13.225013692422031,6.14580488896976,4.4866861665010935
14,0,178.29999999999998,109.97222847955732,42.1434656092535,38.16565504716274,5560.0,49.0,1.0,360.0,19.0,6.0,2.0,3.0,13.257034664844324,17.48424859056352,7.868705295630202,5.977645754665345,4.731582789002563,15.964546452724749,4.697524971212782,13.605835793725761,2.1612711038526036,2.8153690568071976
15,0,152.2,117.5329998393546,-19.770001606454098,47.920916572142,4020.0,55.0,1.0,360.0,18.0,12.0,3.0,1.0,11.68518959386118,14.143690253225069,10.372495481483822,5.329184213994055,3.836471220908339,15.709985638707058,5.541125658232346,13.225013692422031,6.329509772892272,4.157373422335868
16,0,176.1,124.01770051650135,19.002487247103467,44.75095953490419,4980.0,60.0,1.0,360.0,32.0,7.0,2.0,2.0,11.68518959386118,14.143690253225069,10.372495481483822,5.329184213994055,3.836471220908339,15.709985638707058,5.541125658232346,13.225013692422031,6.329509772892272,4.157373422335868
17,0,209.79999999999998,143.58107708702397,-39.23783860788978,80.82548312567629,5560.0,85.0,1.0,360.0,69.0,4.0,0.0,2.0,12.764258675378473,15.831374011551015,9.098091772662851,5.6567935234491635,4.297031353288579,16.17942585086268,5.142093994453108,13.521754985019127,4.19841284930635,17.75088711916237
18,7,280.09999999999997,167.73794830769864,-0.5456298299039091,99.74592190483561,8980.0,95.0,1.0,360.0,37.0,15.0,4.0,4.0,12.078200011095275,14.757244194203935,10.14510751345911,5.502145497406659,3.7360785418610263,16.43500719923969,5.504005876972357,12.016951808882737,6.722983919939192,4.116713271907907
19,0,340.19999999999993,158.52775888281977,-39.71769103681471,133.18964324082938,9820.0,147.0,1.0,360.0,83.0,23.0,2.0,3.0,12.2639445183645,14.716950269588327,10.01499860349308,5.889193897022744,3.6794860497947255,16.506750110120272,5.504005876972357,9.05373266915228,6.862571747130838,4.463088142962273
20,2,202.70000000000002,191.9,172.70000000000002,8.778382538941894,5320.0,86.0,1.0,360.0,43.0,15.0,3.0,1.0,10.340442137749797,14.555539007933064,9.808939319176437,5.7555344103843895,3.6875364414054617,16.624978689168874,6.684065120654545,6.765635797766517,5.477644458101895,4.226847636794765
21,6,240.1,188.17128840901796,-29.787115909820162,74.61530972871908,6580.0,100.0,1.0,360.0,57.0,16.0,1.0,2.0,11.077464804666514,13.749503981105736,11.030241634956644,5.570859691959782,3.7525142724966187,16.163405311491882,11.195953945014134,6.43674909642297,18.47081845085941,4.82758209713513
22,0,231.70000000000002,196.1,174.20000000000002,18.268278517692902,6620.0,91.0,1.0,360.0,53.0,9.0,4.0,2.0,12.374897926108337,14.683197751087258,11.841795036604509,5.693767555649229,3.7833413633076427,16.473193254855477,5.504005876972356,9.491260493740889,6.726649756015847,5.838086626258113
