AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a2,1,30880,10,19,59,182,286,397,1
a2,2,52080,16,25,123,327,503,712,1
a2,3,29520,9,13,59,223,294,416,1
a2,4,57700,16,30,135,400,569,824,1
a2,5,62920,19,23,137,488,599,907,1
a2,6,56120,14,26,122,483,559,861,1
a2,7,31180,7,15,74,272,328,493,1
a2,8,47620,17,26,89,263,386,587,1
a2,9,12760,3,5,31,114,140,203,1
a2,10,67420,20,33,160,438,600,937,1
a2,11,23180,4,16,55,202,248,376,1
a2,12,61560,17,31,139,449,600,888,1
a2,13,61620,17,35,138,423,600,872,1
a2,14,6920,2,2,22,43,76,101,1
a2,15,29820,10,18,61,158,266,374,1
a2,16,9000,0,9,27,90,125,171,1
a2,17,58660,19,29,120,379,556,782,1
a2,18,8440,3,5,15,46,81,103,1
a2,19,62480,23,35,105,347,529,754,1
a2,20,45500,10,36,101,315,434,665,1
