AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a3,1,61260,16,40,159,354,600,856,1
a3,2,3720,1,3,9,18,44,49,1
a3,3,34680,11,17,83,202,324,463,1
a3,4,8740,3,4,19,51,85,113,1
a3,5,24880,9,10,54,142,230,316,1
a3,6,33600,8,15,97,245,362,516,1
a3,7,13760,3,5,39,119,160,224,1
a3,8,49500,19,22,103,245,387,593,1
a3,9,62760,14,43,175,389,600,924,1
a3,10,69500,20,47,150,410,600,931,1
a3,11,19180,5,9,52,132,194,283,1
a3,12,62060,22,39,134,264,484,737,1
a3,13,42960,15,17,101,244,369,557,1
a3,14,56800,13,25,163,435,600,888,1
a3,15,15720,4,6,46,113,177,239,1
a3,16,59700,15,33,172,365,600,868,1
a3,17,45340,16,23,102,226,398,563,1
a3,18,10740,5,4,17,46,88,112,1
a3,19,58300,14,34,149,410,600,866,1
a3,20,70300,23,44,147,370,600,888,1
