Generation,AgentID,Score,Lines,Level,Time,W1_AggHeight,W2_Holes,W3_Blockades,W4:Bumpiness,W5:AlmostFull,W6_FillsWell,W7:ClearBonus4,W8:ClearBonus3,W9:ClearBonus2,W10:ClearBonus1,Num1Line,Num2Line,Num3Line,NumTetris
31,3,4200,88,1,360,5.366365109104779,17.94938418614253,10.382172980808189,3.8928164180750082,1.8264757319061373,4.5895791851744425,7.61209986675758,10.63022092496998,11.39664425711136,10.241688178445708,65,7,3,0
31,4,4300,95,1,360,17.661840211217307,17.239776987979873,10.22739188475808,6.402158559250076,2.024567871323703,6.971152908550661,10.814024289016682,10.25381570794273,11.10526653871803,6.726283869115764,60,16,1,0
31,5,4040,88,1,360,5.1674770607639235,17.622937373157626,10.253121493605562,6.411056546276512,2.024567871323703,6.761087672015123,9.236124193158997,1.9807593397336631,11.130736250287283,4.7242353549389815,66,8,2,0
31,6,4120,90,1,360,4.921367322338441,17.59433795245321,6.0177284029866955,3.7595459040809214,2.694459767978117,7.255567038997683,9.912120704845004,13.103583235318604,11.059400374825909,5.039682412792186,53,17,1,0
31,7,4000,94,1,360,5.206971315606123,17.837636855840415,5.306608741277131,4.133440070356668,2.5804968201584257,8.092916422429859,8.887230988836906,10.607749673144077,11.081356372307336,8.880392591965613,70,12,0,0
31,8,4040,89,1,360,5.245986214163586,17.837636855840415,5.082730853282953,4.133440070356668,2.5804968201584257,8.092916422429859,8.61343409916518,10.635744398383629,11.081356372307336,8.880392591965613,71,6,2,0
31,9,7080,91,1,360,5.3329734109473375,17.67017654921272,1.5578792206106722,3.7539093010497364,2.854011060651994,7.585318380850585,10.195610531972823,10.58747814763606,12.304455319125143,4.590946423467024,47,16,0,3
32,0,4340,92,1,360,5.3329734109473375,17.67017654921272,1.5578792206106722,3.7885204129274483,2.934488962305098,7.585318380850585,10.195610531972823,10.58747814763606,11.037052361016812,4.590946423467024,56,15,2,0
32,1,4620,90,1,360,5.3329734109473375,17.67017654921272,1.5578792206106722,3.7539093010497364,2.854011060651994,7.585318380850585,10.195610531972823,10.58747814763606,12.304455319125143,4.590946423467024,48,15,4,0
32,2,6180,92,1,360,5.462536377231609,17.83309804910528,11.052530778529064,4.133440070356668,2.3335633852635076,7.882272849118593,9.728490101937737,10.607749673144077,11.081356372307336,5.351242950112425,57,12,1,2
32,3,4780,92,1,360,12.52196121403302,17.639091946477595,7.27510995822297,4.628980137969013,2.931894772734572,7.404442139901463,10.087516649980762,10.47170555331286,11.10526653871803,4.973754935744352,42,19,4,0
32,4,6200,89,1,360,5.3329734109473375,17.67017654921272,1.5578792206106722,3.7132029122941783,2.854011060651994,7.370474930178768,10.195610531972823,10.676842478961014,12.304455319125143,4.590946423467024,40,19,1,2
32,5,4480,90,1,360,5.856655937051121,17.67017654921272,1.5578792206106722,3.7880650393487123,2.934488962305098,7.414591395034198,10.195610531972823,10.58747814763606,11.228479466150896,4.590946423467024,47,17,3,0
32,6,5300,92,1,360,5.462536377231609,16.757790800321462,11.052530778529066,3.310278492200432,2.4831954168097936,6.971152908550661,10.039104501582969,10.248069558765355,11.037052361016812,4.759193401612909,60,11,2,1
