AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a1,1,43520,1,25,97,628,600,901,1
a1,2,44260,3,16,95,659,600,909,1
a1,3,40600,1,10,110,635,600,889,1
a1,4,48220,7,17,104,608,600,895,1
a1,5,44640,3,20,100,626,600,898,1
a1,6,44740,3,18,101,641,600,909,1
a1,7,17000,1,5,45,245,242,354,1
a1,8,44340,3,13,104,661,600,920,1
a1,9,45300,4,13,114,630,600,913,1
a1,10,40980,2,9,102,642,600,881,1
a1,11,38780,3,13,88,562,600,789,1
a1,12,41640,1,18,110,601,600,879,1
a1,13,43260,1,21,106,629,600,908,1
a1,14,46520,5,18,104,618,592,900,1
a1,15,44780,3,14,103,667,600,927,1
a1,16,46520,3,24,102,638,600,926,1
a1,17,28520,5,7,59,363,347,522,1
a1,18,49820,6,18,127,613,600,945,1
a1,19,46520,3,20,100,673,600,945,1
a1,20,46380,4,14,103,677,600,941,1
