AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a2,1,35740,4,29,74,371,435,622,1
a2,2,29280,4,21,53,322,345,507,1
a2,3,18380,4,10,37,172,202,292,1
a2,4,2880,1,3,1,17,26,32,1
a2,5,45200,7,30,78,500,529,774,1
a2,6,4800,0,3,7,80,76,103,1
a2,7,1840,0,2,2,26,33,36,1
a2,8,5200,2,2,8,35,51,65,1
a2,9,36020,8,25,54,338,381,553,1
a2,10,32860,13,14,51,199,277,395,1
a2,11,26020,7,15,34,243,266,384,1
a2,12,37700,16,12,45,260,312,450,1
a2,13,44400,14,23,55,380,419,615,1
a2,14,740,0,1,2,6,17,13,1
a2,15,19160,6,12,20,159,181,259,1
a2,16,14520,5,8,24,93,126,185,1
a2,17,9780,1,6,15,132,129,184,1
a2,18,6400,3,2,10,30,54,68,1
a2,19,7720,1,6,10,93,98,135,1
a2,20,24840,5,17,35,256,268,397,1
