AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
a3,1,53300,9,25,162,470,600,905,1
a3,2,55200,12,18,172,455,600,901,1
a3,3,56440,13,23,169,426,600,885,1
a3,4,2400,1,0,2,25,30,33,1
a3,5,60320,16,25,165,428,600,897,1
a3,6,54340,15,18,143,416,551,816,1
a3,7,51760,7,26,176,449,600,907,1
a3,8,2560,0,0,14,29,45,57,1
a3,9,49460,6,19,176,474,600,907,1
a3,10,53480,9,23,171,467,600,914,1
a3,11,56440,12,26,162,451,600,901,1
a3,12,41680,4,15,147,442,600,797,1
a3,13,6620,2,1,16,58,92,101,1
a3,14,55300,13,23,166,405,600,858,1
a3,15,54700,11,22,165,460,600,900,1
a3,16,61180,16,24,161,467,600,925,1
a3,17,53660,9,23,160,499,600,924,1
a3,18,36660,11,15,86,259,343,520,1
a3,19,4580,1,2,9,47,55,75,1
a3,20,52080,8,18,178,482,600,924,1
