AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
t1a1,1,31440,4,9,79,401,438,602,1
t1a1,2,51080,10,22,110,537,576,863,1
t1a1,3,37120,4,18,86,458,455,700,1
t1a1,4,29140,5,10,61,351,346,523,1
t1a1,5,48880,6,17,125,602,600,927,1
t1a1,6,38560,5,10,84,529,491,747,1
t1a1,7,46820,5,11,112,658,600,935,1
t1a1,8,51640,7,24,130,576,600,936,1
t1a1,9,38240,3,21,103,451,499,732,1
t1a1,10,9460,1,4,23,119,138,181,1
t1a1,11,44740,6,14,111,556,600,844,1
t1a1,12,52900,13,14,123,520,600,860,1
t1a1,13,42800,3,17,101,600,600,865,1
t1a1,14,42760,1,13,125,629,600,922,1
t1a1,15,13940,1,6,33,191,189,279,1
t1a1,16,50020,8,16,119,593,600,911,1
t1a1,17,18660,2,11,42,219,246,344,1
t1a1,18,8560,2,2,20,89,106,143,1
t1a1,19,48640,8,16,134,521,600,869,1
t1a1,20,30780,6,9,76,332,385,535,1
