AgentName,GameNumber,Score,NumTetrises,Num3Line,Num2Line,Num1Line,TimeSurvived,TotalLinesCleared,CurrentLevel
t1a2,1,25600,4,9,69,280,339,461,1
t1a2,2,51160,9,14,160,504,600,902,1
t1a2,3,45240,1,18,178,521,600,935,1
t1a2,4,46640,3,14,178,526,600,936,1
t1a2,5,50480,5,26,152,537,600,939,1
t1a2,6,53820,8,26,167,493,600,937,1
t1a2,7,10980,1,4,33,132,151,214,1
t1a2,8,45000,2,12,168,555,600,935,1
t1a2,9,47900,5,22,141,530,600,898,1
t1a2,10,46180,4,27,146,467,600,856,1
t1a2,11,41780,2,10,169,487,600,863,1
t1a2,12,43220,3,15,138,533,600,866,1
t1a2,13,50860,7,19,162,514,600,923,1
t1a2,14,48500,3,26,155,540,600,940,1
t1a2,15,8200,0,4,34,90,133,170,1
t1a2,16,12160,2,7,33,109,154,204,1
t1a2,17,46260,5,18,151,494,600,870,1
t1a2,18,46860,5,21,152,484,600,871,1
t1a2,19,48740,6,22,159,476,600,884,1
t1a2,20,48240,4,17,177,516,600,937,1
