Generation,AgentID,AvgScore,AvgLines,AvgLevel,AvgTime,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,AvgNum1Line,AvgNum2Line,AvgNum3Line,AvgNumTetris
32,8,4505.0,63.5,1.0,360.0,15.657462289236502,17.493990355225794,6.27149004565414,7.6746096968339845,5.193103665921334,12.199429096767687,11.338411023206229,11.393321139549942,12.018074730878995,3.352962963174619,32.0,11.25,1.0,1.5
32,9,3115.0,61.5,1.0,360.0,15.80928481515925,17.61921030556645,5.872227796476535,7.533394347926239,5.229014679117566,13.784304794394961,16.433089608203588,11.707154898195856,12.051297415576881,2.9961995167465383,39.75,8.5,1.25,0.25
33,0,3005.0,60.0,1.0,360.0,15.657462289236502,17.493990355225794,6.27149004565414,7.6746096968339845,5.193103665921334,12.199429096767687,11.338411023206229,11.393321139549942,12.018074730878995,3.352962963174619,35.75,10.5,0.75,0.25
33,1,3185.0,61.75,1.0,360.0,15.404608822451264,17.577513157180956,6.168758480545855,7.840808943497729,6.2702379765441645,11.937062067530002,11.37482869741869,11.352365402928033,12.074376622154443,3.3420509460492447,37.75,9.25,1.5,0.25
33,2,2705.0,59.75,1.0,360.0,15.663070634040569,17.61719327726355,6.168758480545855,7.836152376261681,5.232009200045341,12.674657693187559,11.492954739697778,11.352365402928033,12.063466669912291,3.319420269404008,35.75,11.25,0.5,0.0
33,3,3425.0,59.75,1.0,360.0,15.583375230358724,17.53073824514973,5.99061659099361,7.2622384782508185,5.193843670237657,11.278227556802136,12.83817017462194,11.793646648873741,12.071680765908294,3.3926638167479477,32.5,10.0,1.75,0.5
33,4,2365.0,44.25,1.0,293.25,15.858871679458757,10.113868321722096,17.392310929392824,7.739992948647635,6.050293528759657,15.24647284717991,11.492954739697778,11.391603469801707,12.073514473961078,2.910409691652416,24.75,7.75,1.0,0.25
33,5,3155.0,58.5,1.0,360.0,15.700756558206663,17.809353352907966,5.872227796476535,7.809686643438048,5.233077336231769,15.155641447124598,19.900767440057262,11.654402805441007,12.041426971033879,3.0347971919160814,28.25,12.0,1.75,0.25
33,6,3450.0,58.5,1.0,360.0,15.657462289236502,17.493990355225794,6.27149004565414,7.788985891890776,5.166055137229394,14.250397577830087,11.338411023206229,11.353241088327895,12.018074730878995,3.1027617524227042,27.5,11.5,2.0,0.5
33,7,3140.0,61.0,1.0,360.0,15.690211440969067,9.523969558571247,6.222102431344475,7.754509037257095,5.710929845603049,12.073297643071784,11.418656972015512,11.373631902635085,11.89310097736855,3.0057078272197097,34.75,10.75,1.25,0.25
33,8,4020.0,60.0,1.0,360.0,15.657462289236502,17.91051990024713,6.27149004565414,7.674609696833985,5.193103665921334,12.199429096767687,11.204746061500204,11.393321139549942,12.018074730878995,3.352962963174619,31.75,8.75,2.25,1.0
33,9,2700.0,58.25,1.0,360.0,2.6182171093194566,17.412293707428738,6.090373666449425,7.695027113386575,5.20844110148684,12.892861353655931,11.288889968896344,11.24971621491391,12.03226399318364,3.200590866575219,36.25,9.5,1.0,0.0
34,0,3115.0,54.75,1.0,360.0,15.657462289236502,17.91051990024713,6.27149004565414,7.674609696833985,5.193103665921334,12.199429096767687,11.204746061500204,11.393321139549942,12.018074730878995,3.352962963174619,27.25,11.25,1.0,0.5
34,1,2835.0,56.25,1.0,360.0,15.583375230358724,17.53073824514973,5.99061659099361,7.2622384782508185,5.193843670237657,11.278227556802136,12.83817017462194,11.793646648873741,12.071680765908294,3.3926638167479477,37.75,7.25,1.0,0.25
34,2,2615.0,52.5,1.0,360.0,15.659227726012537,17.56864268630936,5.893791554284646,7.683308169130878,5.227459932962319,13.709466732861554,12.83817017462194,11.679785743821613,12.048468386134065,3.0347971919160814,27.25,10.0,1.75,0.0
34,3,2360.0,52.0,1.0,360.0,4.121438443192105,17.53073824514973,6.000418140544625,7.520928388644672,5.20844110148684,11.266586266640035,11.288889968896344,11.793646648873741,12.056832602939524,2.758304767244849,35.25,7.25,0.75,0.0
34,4,3860.0,55.0,1.0,360.0,15.663070634040569,17.61719327726355,6.175777363957408,7.836152376261681,5.232009200045341,12.454374702845936,11.389654472955735,11.392753860233176,14.164644105991004,3.3298316844652622,29.0,9.0,1.0,1.25
34,5,2995.0,53.75,1.0,360.0,15.657462289236502,17.390663077073476,6.263938795783297,8.02299853831716,5.166055137229394,12.416840329764465,11.338411023206229,11.393321139549942,12.049430281817937,0.4147407166744813,28.0,9.0,2.25,0.25
34,6,3620.0,47.75,1.0,342.0,13.602451693635201,17.9198928436125,6.27149004565414,7.674609696833986,5.193103665921334,12.199429096767687,11.207462144022557,11.393321139549942,12.014757465463186,3.3529629631746194,24.25,7.0,1.5,1.25
34,7,2770.0,53.75,1.0,360.0,15.678686761992854,17.648593112400853,0.7030733296541487,7.79913417589469,5.198911930302327,14.694182039347028,15.535998944712624,11.50088184568836,12.029522873941733,3.0694429784329142,31.75,9.0,1.0,0.25
34,8,3565.0,55.75,1.0,360.0,15.612195430004139,17.727789738445583,6.130304989960329,7.476199219438287,5.193459715526786,11.756197297152278,11.990660411167076,11.585935880441687,12.043867023168444,3.1892905875082613,31.0,7.5,2.25,0.75
34,9,3120.0,54.0,1.0,360.0,15.621815648398453,17.55088984827896,6.15635293670859,7.476199219438287,5.193459715526786,11.756197297152278,11.990660411167076,11.585935880441687,12.043867023168444,3.372064842635472,30.5,8.5,1.5,0.5
35,0,3220.0,55.25,1.0,360.0,15.663070634040569,17.61719327726355,6.175777363957408,7.836152376261681,5.232009200045341,12.454374702845936,11.389654472955735,11.392753860233176,14.164644105991004,3.3298316844652622,33.0,9.25,0.25,0.75
35,1,3390.0,55.75,1.0,360.0,15.612195430004139,17.727789738445583,6.130304989960329,7.476199219438287,5.193459715526786,11.756197297152278,11.990660411167076,11.585935880441687,12.043867023168444,3.1892905875082613,29.75,10.0,1.0,0.75
35,2,3250.0,55.5,1.0,360.0,15.66958962640259,17.53073824514973,5.931000514060947,7.827107845037018,5.193843670237657,12.2278795412828,11.420138974661795,11.580865082578416,12.069265502935425,3.3562502538787866,28.75,9.75,1.75,0.5
35,3,2895.0,57.0,1.0,360.0,15.659132060839717,17.54818865550137,0.7030733296541487,7.535895038764771,5.197882314866191,13.997041402965452,12.03121761970829,11.556989331041805,12.043867023168444,3.3166938934903087,33.0,8.25,2.5,0.0
