Generation,BestAgentID,BestFitness,AvgFitness,WorstFitness,FitnessStd,BestScore,BestLines,BestLevel,BestTime,Num1Line,Num2Line,Num3Line,NumTetris,W1:AggHeight,W2:Holes,W3:Blockades,W4:Bumpiness,W5:AlmostFull,W6:FillsWell,W7:ClearBonus4,W8:ClearBonus3,W9:ClearBonus2,W10:ClearBonus1
0,7,220.1,96.86628724609167,-30.154634471385567,101.1288081739196,5480.0,101.0,1.0,360.0,72.0,11.0,1.0,1.0,9.599814529252901,15.75205036490027,10.484584403325327,3.0240614669575807,1.8694863593720317,8.853123339604567,14.58239084943654,5.439826556510796,7.441267152971095,10.87622623032305
1,7,170.9,119.60650638736756,-27.551419054978233,56.786782481763254,4200.0,71.0,1.0,360.0,50.0,7.0,1.0,1.0,9.599814529252901,15.830699493818846,10.360782907238525,3.0240614669575807,1.8694863593720317,6.890096362204148,14.58239084943654,5.439826556510796,17.2310110244084,10.696736498212738
2,9,185.4,128.14540394976876,-25.14596050231271,53.70643703979052,5200.0,66.0,1.0,360.0,40.0,6.0,2.0,2.0,8.319726107838461,15.53934351284721,10.59026014909523,7.620346864124186,7.027385471687579,5.46630699790061,18.158969617589054,8.564434066779626,1.7630742590874167,6.660217535099765
3,8,173.0,143.8,122.19999999999999,15.858247065801441,4640.0,62.0,1.0,360.0,46.0,4.0,0.0,2.0,8.428300375275594,16.34369266960364,13.649608342967428,7.565107496827105,3.4600320167307776,6.150425834761944,6.2006043911101685,4.2938850186846835,7.095138784900668,10.596487349396197
4,5,163.1,137.66615007651066,14.261500765106625,42.197632202754654,4280.0,62.0,1.0,360.0,27.0,11.0,3.0,1.0,16.050071675533903,16.776587143368,13.720999357602457,6.868668234844693,4.238272272110207,6.037514019846419,17.51504814812958,19.259193552418562,11.190104975401159,5.86684949873564
5,5,162.9,135.78355983911825,80.0355983911823,20.582919579108818,4000.0,66.0,1.0,360.0,45.0,7.0,1.0,1.0,13.673153281873626,16.20402819347078,6.640787858542273,5.278727773598226,5.210015228120268,5.542723135574695,10.732305335697154,9.704347201218148,4.8425486278678,16.60332440635022
6,9,186.9,122.27462552549716,53.504406762620484,39.37305311003584,5800.0,54.0,1.0,360.0,20.0,8.0,2.0,3.0,14.99103466639924,16.26108925051853,12.63585533074846,7.704610997673393,7.6460662958526955,5.967746497693429,4.166143232572717,12.417157810964994,11.819227841758536,6.258132358849853
7,9,194.0,138.38956334146263,15.93783164213395,62.11364837392151,5640.0,68.0,1.0,360.0,36.0,6.0,4.0,2.0,10.017048440542322,14.93515317245134,18.80429275539723,6.884172174372587,6.869769979256124,13.465078387310369,14.744152443490231,12.055963933639394,5.548395951274532,6.048803037963859
8,4,200.70000000000002,174.18159201668928,-7.484079833107273,60.89940186591688,5320.0,84.0,1.0,360.0,48.0,10.0,4.0,1.0,12.225872045586186,15.116177013319172,11.554546317619902,6.75274696104975,6.950003879262361,9.719421367996407,5.321847171808622,0.5406477847532128,8.88308093834778,4.463593937645301
9,0,247.0,154.85429343353843,-35.67675603008877,83.98060649134575,6640.0,106.0,1.0,360.0,66.0,16.0,0.0,2.0,18.215295084446204,16.224474683650936,13.224276040435411,9.157008755799565,5.316991908268554,14.503211121762723,17.615613658341083,11.928161455747802,12.361769909943803,5.6274412432907575
10,5,234.6,164.91233835391898,23.823383539189912,50.6662710189735,7180.0,81.0,1.0,360.0,32.0,14.0,3.0,3.0,14.044176167599849,15.167161253288763,10.84745222899874,6.908155388864968,6.958791844563163,7.985296940264277,15.653254879262114,3.3538155617527625,9.794338999324955,1.749558732805232
11,1,232.70000000000002,169.05952349683645,-18.704765031635528,66.08217110924454,7120.0,80.0,1.0,360.0,33.0,13.0,3.0,3.0,14.044176167599849,15.167161253288763,10.84745222899874,6.908155388864968,6.958791844563163,7.985296940264277,15.653254879262114,3.3538155617527625,9.794338999324955,1.749558732805232
12,7,275.0,158.56564467580583,-40.07641653036798,122.81588572508217,8140.0,107.0,1.0,360.0,51.0,19.0,2.0,3.0,18.091839427074017,15.19685392865321,12.961949546671706,8.2141265368982,6.607588009183369,9.585437059298991,12.680823359853731,4.825471462197932,10.98731661155665,5.005755241611554
13,3,240.0,177.1602767742578,-35.49723225742212,74.04667908192854,7140.0,87.0,1.0,360.0,51.0,9.0,2.0,3.0,16.14496169532635,17.93391396429751,8.041288279121815,7.870721819372184,6.868208123617975,9.763130485982446,15.696973611849623,10.865954681586585,10.931728628036334,3.6562535277357324
14,8,211.20000000000002,161.6594354529489,17.75243620879536,61.398510585474384,5420.0,93.0,1.0,360.0,53.0,15.0,2.0,1.0,16.23088254650202,17.277708587023753,8.950175320735406,8.127979418233615,6.2548847888678765,11.74515401347773,10.561078973465426,8.44589426687024,15.215366082324913,5.1773695680727485
15,0,239.1,173.15,155.5,23.84006082207006,7580.0,75.0,1.0,360.0,32.0,12.0,1.0,4.0,15.477553577248216,17.214546101590773,8.82508005139729,7.501052548988571,5.7332560033995055,2.1078640476728783,15.221496108931753,10.54594598452687,10.952986748758919,3.344839318141105
16,0,179.1,152.07999999999998,130.0,18.249043810567173,5180.0,60.0,1.0,360.0,27.0,8.0,3.0,2.0,15.477553577248216,17.214546101590773,8.82508005139729,7.501052548988571,5.7332560033995055,2.1078640476728783,15.221496108931753,10.54594598452687,10.952986748758919,3.344839318141105
17,7,169.9,126.9909138370416,-35.21006568435782,63.41101616246467,4400.0,67.0,1.0,360.0,40.0,7.0,3.0,1.0,15.726667817977365,17.442404269667964,8.953162208598606,7.7675919021054405,5.764954840029879,10.970497232209693,15.641320340832788,10.36083956099377,1.2042262545033269,3.652429328883513
18,8,206.6,141.21636125035977,12.4636125035979,47.60485772347048,6180.0,68.0,1.0,360.0,37.0,8.0,1.0,3.0,15.830940802209321,17.691925357902722,9.667252618241722,7.143061859479757,6.037256937976823,13.244459471442227,15.600073711834984,9.89698356651903,12.822481205391329,3.6980608148446144
19,0,163.8,134.93100370237778,6.61003702377775,43.38394286846789,4060.0,66.0,1.0,360.0,39.0,10.0,1.0,1.0,15.830940802209321,17.691925357902722,9.667252618241722,7.143061859479757,6.037256937976823,13.244459471442227,15.600073711834984,9.89698356651903,12.822481205391329,3.6980608148446144
20,0,217.4,156.9428054815917,-34.841501809253494,77.64879241323673,6200.0,83.0,1.0,360.0,40.0,13.0,3.0,2.0,15.830940802209321,17.691925357902722,9.667252618241722,7.143061859479757,6.037256937976823,13.244459471442227,15.600073711834984,9.89698356651903,12.822481205391329,3.6980608148446144
21,9,185.79999999999998,150.52040266102944,13.004026610294382,46.60627483043122,5060.0,73.0,1.0,360.0,34.0,10.0,5.0,1.0,16.107052763956663,17.09391749013816,6.318628415524842,7.665164794386749,4.582780185971622,11.669364839665894,10.587161535227303,11.178196883939021,14.842261472638002,4.579873821948665
22,9,185.70000000000002,159.89000000000001,126.1,16.703439765509387,5020.0,69.0,1.0,360.0,43.0,9.0,0.0,2.0,15.851977421739504,17.532425304598963,4.870198280217538,7.471961597455925,4.356362899164454,11.196596489688185,11.55606895734899,11.5774311310107,11.847019338603763,4.397647180182192
23,0,172.29999999999998,155.86999999999998,139.7,10.522266866032245,4360.0,70.0,1.0,360.0,44.0,8.0,2.0,1.0,15.851977421739504,17.532425304598963,4.870198280217538,7.471961597455925,4.356362899164454,11.196596489688185,11.55606895734899,11.5774311310107,11.847019338603763,4.397647180182192
24,4,193.9,163.4959645111041,104.19964511104088,28.87391820848842,5500.0,70.0,1.0,360.0,30.0,13.0,2.0,2.0,16.102189215167666,17.628018663759658,6.745656623547016,7.570148878946022,5.281833128839063,11.61386788086267,9.849313253839806,6.365307964924194,12.984643426489228,5.081515024592706
25,1,222.70000000000002,177.0085375506404,-36.9146244935963,72.95252280993346,6420.0,85.0,1.0,360.0,43.0,11.0,4.0,2.0,15.91978482000342,17.629589950131727,7.2338110997173715,7.578075045045544,4.911676512088405,12.33261245859052,11.419355882597124,10.709991793275705,11.612878450864892,3.9747802177109
26,8,256.2,196.8,174.4,22.13296184427199,7920.0,87.0,1.0,360.0,43.0,14.0,0.0,4.0,15.91978482000342,17.629589950131724,7.233474992612216,7.578075045045544,4.817333891946156,12.332612458590518,11.267789734725529,10.709991793275705,11.506273476746001,4.124572369660215
27,6,255.20000000000002,193.60063233206273,-33.59367667937294,78.31011857933368,7620.0,95.0,1.0,360.0,43.0,17.0,2.0,3.0,15.848144346070999,17.62019080191046,6.514607374869092,7.723227082655613,5.154049538482117,3.1433715464215335,11.41161326913223,11.605654409519284,11.957267801224084,3.1176804180475775
28,3,264.09999999999997,212.97999999999996,193.70000000000002,19.449359886638934,8180.0,91.0,1.0,360.0,52.0,10.0,1.0,4.0,16.170019791259907,18.132300220665872,7.15122478029544,7.694438660214047,5.01341590266398,12.337976388625828,11.52702355285865,11.035822741660647,11.69511533826998,3.387356294397101
29,3,240.70000000000002,210.19,194.9,14.225993814141773,6820.0,97.0,1.0,360.0,48.0,16.0,3.0,2.0,15.852787482847301,17.664154034293777,5.330447127518283,7.710490525379337,5.043041251093559,5.5797244370003565,11.504112572069474,11.581480145833165,11.818235979490172,3.370438042297617
30,1,246.1,183.3707556331629,18.976049500665958,65.73525700310313,6980.0,100.0,1.0,360.0,47.0,18.0,3.0,2.0,15.91978482000342,17.629589950131724,6.911624852217145,7.642476284210933,5.079447045045737,13.227872995777718,11.407092398446322,10.908859064619904,12.088991823696885,4.017322927510306
31,9,233.70000000000002,207.26999999999998,182.9,14.846417076183737,6820.0,90.0,1.0,360.0,43.0,12.0,5.0,2.0,15.888055056751536,17.413736326896412,6.370201077175191,7.684116481651709,5.2789965605168465,14.266485122415267,11.45181824472186,11.332326224526136,11.94824629047781,3.4854179266389105
32,3,203.79999999999998,158.95,136.2,20.75901009200583,6560.0,55.0,1.0,360.0,19.0,10.0,0.0,4.0,15.927937198418853,17.711747411374798,0.18405131935315766,3.3843688721204424,5.15512808004878,12.782016999686187,11.643512182425784,13.007018591290059,11.877610439946821,6.59203792817314
