Generation,BestAgentID,BestFitness,AvgFitness,WorstFitness,FitnessStd,BestScore,BestLines,BestLevel,BestTime,Num1Line,Num2Line,Num3Line,NumTetris,W1:AggHeight,W2:Holes,W3:Blockades,W4:Bumpiness,W5:AlmostFull,W6:FillsWell,W7:ClearBonus4,W8:ClearBonus3,W9:ClearBonus2,W10:ClearBonus1
0,7,217.6,95.4960623330192,-26.632665404368957,95.3176422896428,5480.0,98.5,1.0,360.0,67.0,11.5,1.5,1.0,9.599814529252901,15.75205036490027,10.484584403325327,3.0240614669575807,1.8694863593720317,8.853123339604567,14.58239084943654,5.439826556510796,7.441267152971095,10.87622623032305
1,8,161.925,119.61476530649068,-18.98329280640607,48.989284714799616,3860.0,68.25,1.0,360.0,49.0,6.25,1.25,0.75,9.815019306944595,13.384020972703793,16.79682577270524,5.815761978515108,2.7297947269048333,6.9436431049078315,16.985701299379624,5.416882593962734,7.802823552607345,5.452615516823635
2,9,160.20000000000002,123.82960797551087,-9.777235818842946,47.65715269144142,3970.0,63.75,1.0,360.0,40.5,7.75,1.25,1.0,8.319726107838461,15.53934351284721,10.59026014909523,7.620346864124186,7.027385471687579,5.46630699790061,18.158969617589054,8.564434066779626,1.7630742590874167,6.660217535099765
3,0,162.85,141.13239228459017,104.67392284590191,15.611413626687671,4330.0,58.75,1.0,360.0,33.25,7.5,1.5,1.5,8.319726107838461,15.53934351284721,10.59026014909523,7.620346864124186,7.027385471687579,5.46630699790061,18.158969617589054,8.564434066779626,1.7630742590874167,6.660217535099765
4,6,164.35,130.10521046366028,17.825623135802,44.68653072637884,4030.0,67.0,1.0,360.0,43.25,8.75,0.75,1.0,8.93752299557637,15.204514553913562,7.385974760806483,6.958999075568847,5.125924348759933,6.813192055899845,17.997721591568908,6.866018174002928,5.399862703249816,6.346082658879324
5,9,164.7,138.098951395434,117.34880361706433,15.306794586532794,4370.0,60.0,1.0,360.0,35.5,7.0,1.5,1.5,9.352601787473365,16.012723313955313,8.5272106562809,7.032852714637621,5.534505389179364,4.44689085153409,17.733653857453483,10.035244735239193,4.601916599455297,6.294669751573064
6,3,145.55,117.64915115420577,71.1514922748907,25.351699525251128,3410.0,59.75,1.0,360.0,34.0,9.25,1.75,0.5,10.426604255972666,14.427407192753288,19.171297759910964,6.8059344856929656,6.852461278191223,5.940083967234354,10.245412627031865,13.699434562437078,7.340414022192845,5.9417375049761585
7,9,200.42499999999998,156.12639209164936,110.01445044312314,27.213231659522027,6135.0,64.75,1.0,360.0,27.75,6.75,4.5,2.5,10.017048440542322,14.93515317245134,18.80429275539723,6.884172174372587,6.869769979256124,13.465078387310369,14.744152443490231,12.055963933639394,5.548395951274532,6.048803037963859
8,3,227.79999999999998,154.8701075951341,-10.695790416431212,76.21965014775193,5735.0,106.0,1.0,360.0,65.25,15.5,2.25,0.75,18.215295084446204,16.224474683650936,13.224276040435411,9.157008755799565,5.316991908268554,14.503211121762723,17.615613658341083,11.928161455747802,12.361769909943803,5.6274412432907575
9,0,215.425,164.53566577380667,28.17880730914743,56.34471179610831,5560.0,94.0,1.0,360.0,57.75,13.75,1.25,1.25,18.215295084446204,16.224474683650936,13.224276040435411,9.157008755799565,5.316991908268554,14.503211121762723,17.615613658341083,11.928161455747802,12.361769909943803,5.6274412432907575
10,7,201.7,163.5749175942581,61.40134343193666,46.0622649328871,5320.0,85.0,1.0,360.0,41.75,14.75,3.25,1.0,17.245115132875604,15.523721405946286,14.772254232735813,8.456659984422123,6.106666883288381,15.430856847351,18.552072330621495,10.87467148683792,11.10178303925581,2.6928104887132536
11,1,218.825,172.22444177105572,-18.75558228944292,65.25027274540581,6320.0,81.5,1.0,360.0,34.25,15.75,2.25,2.25,14.044176167599849,15.167161253288763,10.84745222899874,6.908155388864968,6.958791844563163,7.985296940264277,15.653254879262114,3.3538155617527625,9.794338999324955,1.749558732805232
12,2,257.65,157.23368336021338,-32.67724063633546,114.92293261945224,7375.0,104.5,1.0,360.0,58.75,13.5,3.25,2.25,16.60759451926664,19.94403425461907,14.083272141864311,8.033603705008725,6.161773905147342,13.270945714744132,5.291004689101825,9.963934188563659,10.930170339838625,5.811580419317022
13,3,214.15,164.2995263326625,-28.249881672593098,66.8413946650739,5850.0,87.25,1.0,360.0,50.0,10.75,3.25,1.5,16.14496169532635,17.93391396429751,8.041288279121815,7.870721819372184,6.868208123617975,9.763130485982446,15.696973611849623,10.865954681586585,10.931728628036334,3.6562535277357324
14,2,221.82500000000002,172.1182215542813,6.648427775968017,58.662611129614525,6120.0,89.75,1.0,360.0,45.5,15.25,2.25,1.75,15.477553577248216,17.214546101590773,8.82508005139729,7.501052548988571,5.7332560033995055,2.1078640476728783,15.221496108931753,10.54594598452687,10.952986748758919,3.344839318141105
15,0,192.4,165.51196196221903,116.46961962219024,19.42654889347903,5200.0,75.25,1.0,360.0,36.25,13.5,2.0,1.5,15.477553577248216,17.214546101590773,8.82508005139729,7.501052548988571,5.7332560033995055,2.1078640476728783,15.221496108931753,10.54594598452687,10.952986748758919,3.344839318141105
16,6,153.775,140.47750000000002,126.775,9.4665559339181,3875.0,58.75,1.0,360.0,32.5,8.5,1.75,1.0,15.72562509098432,17.60317261967467,8.833279971231745,7.535762887364139,4.257359942172931,2.8983583887772464,15.487928535307582,9.916786743096598,9.30009877050713,3.3492123891518584
17,1,178.875,121.33593515114447,-31.144043939803367,68.18872971856317,4440.0,76.5,1.0,360.0,43.5,12.0,2.0,0.75,15.741096591705677,17.691925357902722,9.667252618241722,7.789781571892694,6.037256937976823,13.244459471442228,15.600073711834984,9.89698356651903,12.822481205391329,3.6980608148446144
18,8,158.32500000000002,137.97933598160498,81.17990582690607,19.835240075720623,3895.0,63.0,1.0,360.0,36.75,10.0,0.75,1.0,15.830940802209321,17.691925357902722,9.667252618241722,7.143061859479757,6.037256937976823,13.244459471442227,15.600073711834984,9.89698356651903,12.822481205391329,3.6980608148446144
19,0,161.0,133.95000773721648,7.1363717332846015,43.51784362328228,3990.0,64.25,1.0,360.0,37.25,10.0,1.0,1.0,15.830940802209321,17.691925357902722,9.667252618241722,7.143061859479757,6.037256937976823,13.244459471442227,15.600073711834984,9.89698356651903,12.822481205391329,3.6980608148446144
20,9,195.275,154.34059052241656,-35.762737033158544,68.48972603874833,5200.0,79.25,1.0,360.0,42.5,11.75,2.75,1.25,16.113588248240212,16.60958471382468,3.79446954790702,8.16958466374598,5.505962993567183,10.147616971057237,6.436258518413826,12.416016882613084,7.747943712598633,5.1080215283357
21,5,195.02499999999998,155.593478231231,20.48478231230986,46.272885284426785,5450.0,73.0,1.0,360.0,32.5,13.0,2.5,1.75,15.830940802209321,17.691925357902722,1.1007653282706573,7.298468100669216,5.546406903339563,10.398819904425018,14.923926388751534,13.16869782137358,12.349969308434517,3.6980608148446144
22,9,172.625,161.935,136.6,10.691662639645907,4365.0,70.25,1.0,360.0,37.25,12.25,1.5,1.0,15.851977421739504,17.532425304598963,4.870198280217538,7.471961597455925,4.356362899164454,11.196596489688185,11.55606895734899,11.5774311310107,11.847019338603763,4.397647180182192
23,5,183.525,164.02312272783428,115.7312272783428,18.543692521851124,5025.0,69.0,1.0,360.0,30.0,12.75,2.5,1.5,15.849743466975866,18.01373036404942,6.328760521374452,7.298468100669216,5.3644644443811735,11.053106637054386,14.923926388751534,13.037018173892688,12.349969308434517,1.9817879264763711
24,5,170.825,157.30149112777605,138.1999112777602,9.460987485261837,4295.0,69.5,1.0,360.0,40.5,10.25,1.5,1.0,15.882690980563387,17.61075034120593,5.792580087150143,7.82028321647566,5.486659966135826,11.199375255012107,11.55606895734899,11.841258680067545,12.410244400589988,2.1063628306295628
25,0,215.4,173.84071484651935,18.030923004984682,54.18415215031303,5950.0,84.75,1.0,360.0,43.75,15.0,1.0,2.0,15.882690980563387,17.61075034120593,5.792580087150143,7.82028321647566,5.486659966135826,11.199375255012107,11.55606895734899,11.841258680067545,12.410244400589988,2.1063628306295628
26,8,211.375,197.42373535869393,153.39337252539542,16.189453395150483,5665.0,87.25,1.0,360.0,46.0,15.0,1.75,1.5,15.91978482000342,17.629589950131724,7.233474992612216,7.578075045045544,4.817333891946156,12.332612458590518,11.267789734725529,10.709991793275705,11.506273476746001,4.124572369660215
27,0,231.2,190.7422372060326,-16.352627939674413,69.831284910067,6345.0,95.75,1.0,360.0,56.75,12.25,2.5,1.75,15.91978482000342,17.629589950131724,7.233474992612216,7.578075045045544,4.817333891946156,12.332612458590518,11.267789734725529,10.709991793275705,11.506273476746001,4.124572369660215
28,3,228.85,215.34,196.95,9.87403286403281,6205.0,95.5,1.0,360.0,54.5,14.75,1.5,1.75,16.170019791259907,18.132300220665872,7.15122478029544,7.694438660214047,5.01341590266398,12.337976388625828,11.52702355285865,11.035822741660647,11.69511533826998,3.387356294397101
29,9,225.9,215.0125,203.875,5.745925186599633,6000.0,96.75,1.0,360.0,56.25,15.0,1.5,1.5,15.858871679458757,17.61878741269509,5.872227796476535,7.722414958158243,5.232009200045341,15.221746254113873,11.492954739697778,11.72180917781962,12.041426971033879,2.9961995167465383
30,0,229.89999999999998,191.26462322492364,101.37626474951678,40.166536934646544,6350.0,95.5,1.0,360.0,48.75,14.75,3.75,1.5,15.858871679458757,17.61878741269509,5.872227796476535,7.722414958158243,5.232009200045341,15.221746254113873,11.492954739697778,11.72180917781962,12.041426971033879,2.9961995167465383
31,0,227.125,203.33062336010974,130.43123360109738,26.22002977419361,6315.0,91.0,1.0,360.0,46.0,16.25,1.5,2.0,15.858871679458757,17.61878741269509,5.872227796476535,7.722414958158243,5.232009200045341,15.221746254113873,11.492954739697778,11.72180917781962,12.041426971033879,2.9961995167465383
32,8,170.225,140.7604932072943,101.44913482644253,21.429242472361025,4505.0,63.5,1.0,360.0,32.0,11.25,1.0,1.5,15.657462289236502,17.493990355225794,6.27149004565414,7.6746096968339845,5.193103665921334,12.199429096767687,11.338411023206229,11.393321139549942,12.018074730878995,3.352962963174619
33,8,157.20000000000002,137.07240252566675,96.34902525666737,15.226535066540379,4020.0,60.0,1.0,360.0,31.75,8.75,2.25,1.0,15.657462289236502,17.91051990024713,6.27149004565414,7.674609696833985,5.193103665921334,12.199429096767687,11.204746061500204,11.393321139549942,12.018074730878995,3.352962963174619
34,4,150.925,133.59831641747115,119.8,8.67284199947957,3860.0,55.0,1.0,360.0,29.0,9.0,1.0,1.25,15.663070634040569,17.61719327726355,6.175777363957408,7.836152376261681,5.232009200045341,12.454374702845936,11.389654472955735,11.392753860233176,14.164644105991004,3.3298316844652622
35,8,148.0,132.29523042355416,103.0523042355417,12.631616998792026,3715.0,56.5,1.0,360.0,27.25,9.0,2.75,0.75,14.488765869086473,17.75798034965777,6.2202938078017596,7.761018073369666,5.21391404280637,12.3357982346585,11.317210945911132,11.39301770466216,13.16472114689949,3.3405901571301055
36,0,145.325,129.00969437750024,102.82938940157094,10.367793354064341,3520.0,56.75,1.0,360.0,29.25,10.0,1.5,0.75,14.488765869086473,17.75798034965777,6.2202938078017596,7.761018073369666,5.21391404280637,12.3357982346585,11.317210945911132,11.39301770466216,13.16472114689949,3.3405901571301055
37,1,159.65,139.64249999999998,128.55,9.28976621072888,4300.0,56.0,1.0,360.0,30.0,7.0,2.0,1.5,15.612195430004139,17.89917757756847,6.130304989960329,7.403585573294289,5.193459715526786,11.756197297152278,11.990660411167076,11.585935880441687,12.050784241756505,3.1892905875082613
38,8,141.35,129.5375,119.125,7.506366048228658,3605.0,49.25,1.0,360.0,25.75,7.75,1.0,1.25,15.066075048777487,17.830538931571162,3.1543488817596765,7.57734027941446,5.373776304531166,12.037952287373175,11.673097077808597,11.529837016549793,12.645333587705862,3.2628401730949324
39,7,172.2,158.98250000000002,141.775,9.645381342901894,4545.0,66.0,1.0,360.0,34.25,10.0,2.25,1.25,14.850897104533582,17.795130238468627,4.676788410414414,7.666975308991985,5.295763289187969,12.18797281222195,11.379188661458585,11.46306899411364,12.913508150039833,3.300782277954622
40,0,169.0,156.57327272605355,134.28272726053572,9.791659813616427,4315.0,66.25,1.0,360.0,36.0,11.5,0.75,1.25,14.850897104533582,17.795130238468627,4.676788410414414,7.666975308991985,5.295763289187969,12.18797281222195,11.379188661458585,11.46306899411364,12.913508150039833,3.300782277954622
41,8,168.425,160.62,151.35000000000002,4.621658252186109,4285.0,67.25,1.0,360.0,37.75,9.75,2.0,1.0,14.807412712294129,17.80666270890034,4.949046596137403,7.647250047625023,5.375240139968365,12.241349724111851,11.522431961062857,11.478878194921947,12.815513936558544,3.291406333258669
42,9,168.725,152.07331641747118,139.9,9.257919441398936,4530.0,62.75,1.0,360.0,30.75,9.0,3.0,1.25,14.738788825351733,17.772582223169,5.008055459674434,7.413100560392842,5.750236959469377,12.204749426237811,11.543961918280102,7.703162348935446,12.747125651453914,3.309613794906599
43,6,183.70000000000002,159.0075,146.425,11.093494997069234,5095.0,67.0,1.0,360.0,34.25,9.5,2.25,1.75,14.743039910473914,17.768520920034366,4.975393139264201,7.527290211814936,5.56743940587739,12.291527735186344,11.533699390235713,9.545057377571696,12.780322473815522,3.3007161138873395
44,9,212.17499999999998,178.57168369281356,137.1918369281353,19.410888892200717,6185.0,75.75,1.0,360.0,40.25,9.75,2.0,2.5,14.706543457456362,17.824678130159242,4.988643667148867,7.601787154952033,5.60197856680296,12.310614325598497,11.462693823992266,4.939054215224603,0.007115176454876467,3.263264142856322
45,8,174.15,160.77775000000003,141.3525,9.587392401612657,4500.0,69.75,1.0,360.0,36.25,11.0,2.5,1.0,14.780948980999389,17.717059059887642,4.96918417580027,7.317421041054056,5.274779073991236,12.13229072851717,11.530990951314172,10.523253125805509,12.638824534362648,4.295442328989168
46,1,195.65,158.15676992632612,117.44408234662082,19.96482751904689,5625.0,68.75,1.0,360.0,32.5,11.0,1.75,2.25,14.736999040335844,17.77111923601967,4.925683088112075,7.619954002667281,5.55630081834643,12.345786182022117,11.463157173700425,7.099495878806387,5.990839104226273,3.9890400383964995
47,3,190.625,169.38500000000005,146.775,12.180590092438047,5290.0,71.0,1.0,360.0,34.75,11.25,2.25,1.75,14.73746126137735,17.743866146792882,5.0759753511696495,7.219141509493611,5.10334251325043,12.238157774936033,11.474174040528498,8.825497686781194,9.509094935635154,4.266341517393727
48,7,185.575,163.2401027694317,122.20102769431716,17.18114052617284,5120.0,68.5,1.0,360.0,31.75,12.25,1.75,1.75,14.737236376055808,17.757125646433526,5.00285335786386,7.4141496080242355,5.323721217244948,12.290522437642899,11.468813982425278,7.985742598389411,7.797350936852046,4.131425477948947
49,7,197.14999999999998,162.1476035146632,124.52134387660092,21.758967282317343,5650.0,71.0,1.0,360.0,35.0,9.5,3.0,2.0,14.737236376055808,18.04537704049731,5.00285335786386,7.35387858156667,5.323721217244948,12.290522437642899,11.302170056741456,7.985742598389411,7.797350936852046,4.131425477948947
